date,month,year,quarter,category,description,amount,type,payment_method,notes
2024-02-18,2024-02,2024,Q1,Transport,Gas Station,107.55,Expense,Debit Card,
2024-10-19,2024-10,2024,Q4,Food,Food Delivery,247.37,Expense,Bank Transfer,
2023-02-21,2023-02,2023,Q1,Transport,Parking,432.06,Expense,Credit Card,
2024-02-21,2024-02,2024,Q1,Housing,Property Tax,2396.13,Expense,Digital Wallet,
2024-12-27,2024-12,2024,Q4,Housing,Mortgage Payment,1760.04,Expense,Cash,
2023-08-10,2023-08,2023,Q3,Entertainment,Netflix,34.93,Expense,Digital Wallet,
2023-07-01,2023-06,2023,Q2,Income,Freelance Payment,961.34,Income,Bank Transfer,
2023-09-02,2023-09,2023,Q3,Utilities,Internet,241.63,Expense,Bank Transfer,
2023-08-23,2023-08,2023,Q3,Food,Grocery Store,25.94,Expense,Credit Card,
2023-03-20,2023-03,2023,Q1,Healthcare,Doctor Visit,250.48,Expense,Digital Wallet,
2023-02-01,2023-02,2023,Q1,Transport,Uber/Grab,402.54,Expense,Digital Wallet,
2023-01-13,2023-01,2023,Q1,Healthcare,Dental,483.27,Expense,Cash,
2024-10-14,2024-10,2024,Q4,Utilities,Water Bill,94.25,Expense,Debit Card,
2023-06-14,2023-06,2023,Q2,Other,Miscellaneous,182.17,Expense,Digital Wallet,
2023-01-25,2023-01,2023,Q1,Entertainment,Games,172.29,Expense,Bank Transfer,
2024-09-06,2024-09,2024,Q3,Entertainment,Cinema,140.48,Expense,Digital Wallet,
2024-05-06,2024-05,2024,Q2,Food,Coffee Shop,196.05,Expense,Debit Card,
2024-01-06,2024-01,2024,Q1,Healthcare,Lab Tests,777.09,Expense,Bank Transfer,
2023-09-10,2023-09,2023,Q3,Healthcare,Pharmacy,1958.3446262695898,Expense,Cash,
2023-04-15,2023-04,2023,Q2,Entertainment,Netflix,165.74,Expense,Digital Wallet,
2024-06-01,2024-06,2024,Q2,Education,Workshop,791.76,Expense,Credit Card,
2024-07-06,2024-07,2024,Q3,Housing,Monthly Rent,1818.79,Expense,Bank Transfer,
2023-02-06,2023-02,2023,Q1,Transport,Gas Station,427.91,Expense,Debit Card,
2023-07-26,2023-07,2023,Q3,Housing,Property Tax,1407.36,Expense,Credit Card,
2023-08-20,2023-08,2023,Q3,Transport,Public Transit,139.02,Expense,Digital Wallet,
2023-11-10,2023-11,2023,Q4,Housing,Maintenance,943.19,Expense,Cash,
2024-04-23,2024-04,2024,Q2,Food,Coffee Shop,288.82,Expense,Digital Wallet,
2024-05-08,2024-05,2024,Q2,Travel,Airbnb,2508.37,Expense,Cash,
2024-03-28,2024-03,2024,Q1,Housing,Home Insurance,2290.35,Expense,Digital Wallet,
2024-02-08,2024-02,2024,Q1,Travel,Airbnb,782.2,Expense,Bank Transfer,
2023-12-03,2023-12,2023,Q4,Housing,Maintenance,1272.87,Expense,Bank Transfer,
2023-04-24,2023-04,2023,Q2,Travel,Flight Ticket,1369.7,Expense,Digital Wallet,
2023-03-01,2023-03,2023,Q1,Shopping,Electronics,201.92,Expense,Bank Transfer,
2023-11-14,2023-11,2023,Q4,Food,Supermarket,241.32,Expense,Debit Card,
2023-02-09,2023-02,2023,Q1,Food,Grocery Store,296.32,Expense,Bank Transfer,
2024-02-21,2024-02,2024,Q1,Food,Coffee Shop,92.9,Expense,Credit Card,
2024-12-01,2024-12,2024,Q4,Shopping,Home Goods,545.32,Expense,Credit Card,
2024-01-19,2024-01,2024,Q1,Transport,Public Transit,194.77,Expense,Digital Wallet,
2023-01-27,2023-01,2023,Q1,Food,Restaurant,56.48,Expense,Credit Card,
2023-02-08,2023-02,2023,Q1,Housing,Property Tax,839.56,Expense,Bank Transfer,
2023-07-28,2023-07,2023,Q3,Housing,Maintenance,624.07,Expense,Credit Card,
2024-09-06,2024-09,2024,Q3,Utilities,Gas Bill,64.66,Expense,Cash,
2023-04-25,2023-04,2023,Q2,Shopping,Amazon,172.38,Expense,Debit Card,
2023-03-01,2023-03,2023,Q1,Entertainment,Spotify,147.34,Expense,Credit Card,
2024-06-15,2024-06,2024,Q2,Housing,Property Tax,1927.18,Expense,Debit Card,
2023-06-27,2023-06,2023,Q2,Transport,Car Insurance,223.24,Expense,Debit Card,
2024-11-01,2024-11,2024,Q4,Food,Supermarket,83.79,Expense,Bank Transfer,
2024-04-16,2024-04,2024,Q2,Housing,Property Tax,8099.099998532183,Expense,Digital Wallet,
2024-04-13,2024-04,2024,Q2,Food,Supermarket,163.59,Expense,Bank Transfer,
2023-06-11,2023-06,2023,Q2,Housing,Home Insurance,1897.29,Expense,Digital Wallet,
2024-06-30,2024-06,2024,Q2,Housing,Home Insurance,1396.86,Expense,Credit Card,
2023-05-02,2023-05,2023,Q2,Transport,Car Insurance,429.73,Expense,Credit Card,
2023-03-23,2023-03,2023,Q1,Entertainment,Spotify,188.39,Expense,Debit Card,
2024-12-08,2024-12,2024,Q4,Shopping,Clothing Store,885.7173712587602,Expense,Digital Wallet,
2023-12-17,2023-12,2023,Q4,Travel,Travel Insurance,537.26,Expense,Digital Wallet,
2023-10-22,2023-10,2023,Q4,Entertainment,,180.29,Expense,Debit Card,
2024-03-13,2024-03,2024,Q1,Food,Restaurant,172.1,Expense,Cash,
2024-06-12,2024-06,2024,Q2,Transport,Gas Station,370.23,Expense,Debit Card,
2024-11-13,2024-11,2024,Q4,Food,Restaurant,56.73,Expense,Debit Card,
2024-05-05,2024-05,2024,Q2,Other,ATM Withdrawal,63.07,Expense,Digital Wallet,
2024-10-13,2024-10,2024,Q4,Food,Supermarket,181.29,Expense,Bank Transfer,
2024-09-19,2024-09,2024,Q3,Shopping,Electronics,314.15,Expense,Debit Card,
2024-12-23,2024-12,2024,Q4,Healthcare,Health Insurance,791.04,Expense,Debit Card,
2023-08-24,2023-08,2023,Q3,Shopping,Electronics,596.58,Expense,Bank Transfer,
2023-06-17,2023-06,2023,Q2,Housing,Property Tax,866.28,Expense,Bank Transfer,
2023-02-06,2023-02,2023,Q1,Healthcare,Lab Tests,318.72,Expense,Bank Transfer,
2024-02-21,2024-02,2024,Q1,Food,Grocery Store,53.49,Expense,Digital Wallet,
2024-03-16,2024-03,2024,Q1,Housing,Mortgage Payment,1238.43,Expense,Credit Card,
2023-05-10,2023-05,2023,Q2,Food,Supermarket,190.69,Expense,Digital Wallet,
2024-12-14,2024-12,2024,Q4,Education,Online Course,390.07,Expense,Credit Card,
2023-09-19,2023-09,2023,Q3,Other,Bank Fee,85.37,Expense,Digital Wallet,
2024-11-23,2024-11,2024,Q4,Food,Food Delivery,214.86,Expense,Bank Transfer,
2024-12-19,2024-12,2024,Q4,Utilities,Internet,121.89,Expense,Digital Wallet,
2024-03-17,2024-03,2024,Q1,Other,ATM Withdrawal,447.15,Expense,Digital Wallet,
2023-11-27,2023-11,2023,Q4,Transport,Uber/Grab,414.61,Expense,Credit Card,
2024-02-07,2024-02,2024,Q1,Food,Restaurant,161.18,Expense,Credit Card,
2024-04-09,2024-04,2024,Q2,Travel,Travel Insurance,2383.68,Expense,Bank Transfer,
2023-01-17,2023-01,2023,Q1,Transport,Gas Station,296.93,Expense,Bank Transfer,
2023-10-13,2023-10,2023,Q4,Transport,Parking,282.57,Expense,Debit Card,
2023-09-22,2023-09,2023,Q3,Housing,Property Tax,784.92,Expense,Credit Card,
2024-05-24,2024-05,2024,Q2,Utilities,Water Bill,59.17,Expense,Debit Card,
2024-07-31,2024-07,2024,Q3,Food,Supermarket,232.99,Expense,Bank Transfer,
2023-03-04,2023-03,2023,Q1,Shopping,Online Shopping,351.57,Expense,Bank Transfer,
2023-12-01,2023-12,2023,Q4,Transport,Car Insurance,74.39,Expense,Debit Card,
2023-07-24,2023-07,2023,Q3,Housing,Home Insurance,712.53,Expense,Digital Wallet,
2023-09-17,2023-09,2023,Q3,Transport,Public Transit,85.84,Expense,Digital Wallet,
2024-06-13,2024-06,2024,Q2,Transport,Public Transit,274.72,Expense,Digital Wallet,
2024-11-22,2024-11,2024,Q4,Shopping,Amazon,189.74,Expense,Debit Card,
2023-06-22,2023-06,2023,Q2,Housing,Maintenance,2236.35,Expense,Cash,
2023-03-28,2023-03,2023,Q1,Housing,Maintenance,2298.25,Expense,Debit Card,
2023-04-27,2023-04,2023,Q2,Shopping,Home Goods,335.83,Expense,Credit Card,
2024-08-19,2024-08,2024,Q3,Healthcare,Pharmacy,213.15,Expense,Cash,
2023-06-30,2023-06,2023,Q2,Income,Monthly Salary,4624.681579148488,Income,Bank Transfer,
2024-10-10,2024-10,2024,Q4,Travel,Travel Insurance,731.59,Expense,Cash,
2024-09-29,2024-09,2024,Q3,Housing,Home Insurance,763.14,Expense,Credit Card,
2024-02-18,2024-02,2024,Q1,Utilities,Phone Bill,106.1,Expense,Digital Wallet,
2024-06-16,2024-06,2024,Q2,Food,Food Delivery,163.31,Expense,Credit Card,
2023-06-30,2023-06,2023,Q2,Entertainment,Spotify,193.87,Expense,Credit Card,
2023-10-14,2023-10,2023,Q4,Utilities,Phone Bill,172.13,Expense,Digital Wallet,
2023-11-29,2023-11,2023,Q4,Food,Food Delivery,275.59,Expense,Bank Transfer,
2024-06-15,2024-06,2024,Q2,Food,Food Delivery,27.99,Expense,Credit Card,
2023-11-27,2023-11,2023,Q4,Housing,Maintenance,1133.03,Expense,Credit Card,
2023-03-06,2023-03,2023,Q1,Travel,Flight Ticket,670.94,Expense,Credit Card,
2024-10-14,2024-10,2024,Q4,Transport,Gas Station,194.81,Expense,Debit Card,
2024-05-27,2024-05,2024,Q2,Transport,Uber/Grab,22.22,Expense,Debit Card,
2024-08-12,2024-08,2024,Q3,Food,Supermarket,31.94,Expense,Credit Card,
2024-04-17,2024-04,2024,Q2,Housing,Mortgage Payment,1450.67,Expense,Cash,
2024-08-12,2024-08,2024,Q3,Housing,Monthly Rent,900.15,Expense,,
2024-12-06,2024-12,2024,Q4,Transport,Gas Station,372.48,Expense,Digital Wallet,
2023-06-05,2023-06,2023,Q2,Other,Subscription,397.23,Expense,Credit Card,
2024-05-25,2024-05,2024,Q2,Income,Monthly Salary,5306.270205230842,Income,Bank Transfer,
2023-04-07,2023-04,2023,Q2,Healthcare,Doctor Visit,465.12,Expense,Bank Transfer,
2023-04-04,2023-04,2023,Q2,Transport,Parking,53.85,Expense,Cash,
2023-01-21,2023-01,2023,Q1,Utilities,Phone Bill,150.22,Expense,Digital Wallet,
2024-03-25,2024-03,2024,Q1,Food,Food Delivery,45.64,Expense,Credit Card,
2023-06-16,2023-06,2023,Q2,Utilities,Water Bill,279.96,Expense,Bank Transfer,
2024-03-30,2024-03,2024,Q1,Housing,Maintenance,1228.6,Expense,Cash,
2024-07-27,2024-07,2024,Q3,Transport,Parking,173.98,Expense,Cash,
2024-08-19,2024-08,2024,Q3,Entertainment,Netflix,183.45,Expense,Digital Wallet,
2023-02-26,2023-02,2023,Q1,Utilities,Electricity Bill,64.84,Expense,Digital Wallet,
2023-10-08,2023-10,2023,Q4,Transport,Public Transit,459.84,Expense,Bank Transfer,
2024-05-01,2024-05,2024,Q2,Utilities,Gas Bill,69.79,Expense,Credit Card,
2024-02-07,2024-02,2024,Q1,Healthcare,Health Insurance,192.22,Expense,Digital Wallet,
2023-06-17,2023-06,2023,Q2,Food,Grocery Store,209.06,Expense,Credit Card,
2024-06-03,2024-06,2024,Q2,Food,Restaurant,102.61,Expense,Digital Wallet,
2024-12-31,2024-12,2024,Q4,Shopping,Amazon,194.34,Expense,Credit Card,
2023-11-02,2023-11,2023,Q4,Healthcare,Health Insurance,696.65,Expense,Credit Card,
2023-02-09,2023-02,2023,Q1,Shopping,Amazon,319.89,Expense,Credit Card,
2023-05-29,2023-05,2023,Q2,Utilities,Water Bill,190.92,Expense,Digital Wallet,
2024-11-14,2024-11,2024,Q4,Education,Tuition,969.18,Expense,Credit Card,
2023-11-28,2023-11,2023,Q4,Food,Grocery Store,57.35,Expense,Credit Card,
2024-02-29,2024-02,2024,Q1,Food,Coffee Shop,237.16,Expense,Credit Card,
2024-08-17,2024-08,2024,Q3,Housing,Mortgage Payment,1456.99,Expense,Debit Card,
2023-09-28,2023-09,2023,Q3,Transport,Gas Station,185.9,Expense,Bank Transfer,
2023-01-07,2023-01,2023,Q1,Transport,Uber/Grab,230.11,Expense,Bank Transfer,
2024-11-20,2024-11,2024,Q4,Food,Coffee Shop,254.43,Expense,Digital Wallet,
2024-01-28,2024-01,2024,Q1,Travel,Hotel,333.68,Expense,Debit Card,
2024-07-06,2024-07,2024,Q3,Healthcare,Pharmacy,493.14,Expense,Cash,
2024-08-08,2024-08,2024,Q3,Shopping,Electronics,520.91,Expense,Digital Wallet,
2024-07-28,2024-07,2024,Q3,Other,Donation,483.41,Expense,Digital Wallet,
2023-08-30,2023-08,2023,Q3,Entertainment,Cinema,90.44,Expense,Cash,
2024-09-25,2024-09,2024,Q3,Food,Coffee Shop,177.83,Expense,Debit Card,
2023-09-28,2023-09,2023,Q3,Shopping,Online Shopping,506.68,Expense,Credit Card,
2023-03-29,2023-03,2023,Q1,Entertainment,Netflix,97.48,Expense,Bank Transfer,
2024-06-23,2024-06,2024,Q2,Housing,Monthly Rent,1190.45,Expense,Bank Transfer,
2024-08-21,2024-08,2024,Q3,Housing,Property Tax,1989.98,Expense,Digital Wallet,
2024-10-20,2024-10,2024,Q4,Shopping,Home Goods,37.66,Expense,Digital Wallet,
2024-01-16,2024-01,2024,Q1,Shopping,Electronics,33.77,Expense,Cash,
2024-05-14,2024-05,2024,Q2,Food,Restaurant,150.82,Expense,Cash,
2024-03-14,2024-03,2024,Q1,Shopping,Online Shopping,561.25,Expense,Debit Card,
2024-05-31,2024-05,2024,Q2,Transport,Gas Station,31.67,Expense,Bank Transfer,
2024-11-12,2024-11,2024,Q4,Transport,Public Transit,110.53,Expense,Cash,
2024-05-18,2024-05,2024,Q2,Healthcare,Pharmacy,359.9,Expense,Digital Wallet,
2023-10-12,2023-10,2023,Q4,Healthcare,Dental,118.92,Expense,Debit Card,
2024-01-02,2024-01,2024,Q1,Transport,Car Insurance,61.7,Expense,Bank Transfer,
2023-11-26,2023-11,2023,Q4,Entertainment,Cinema,82.34,Expense,Bank Transfer,
2023-01-30,2023-01,2023,Q1,Shopping,Online Shopping,128.01,Expense,Debit Card,
2024-05-02,2024-05,2024,Q2,Entertainment,Gym Membership,138.65,Expense,Debit Card,
2024-08-01,2024-08,2024,Q3,Housing,Mortgage Payment,1167.02,Expense,Credit Card,
2024-07-19,2024-07,2024,Q3,Entertainment,Games,158.82,Expense,Cash,
2024-12-04,2024-12,2024,Q4,Food,Supermarket,89.68,Expense,Debit Card,
2023-04-24,2023-04,2023,Q2,Housing,Property Tax,1637.33,Expense,Bank Transfer,
2023-01-21,2023-01,2023,Q1,Entertainment,Netflix,57.47,Expense,Bank Transfer,
2024-09-23,2024-09,2024,Q3,Travel,Airbnb,1021.58,Expense,Digital Wallet,
2023-07-01,2023-07,2023,Q3,Shopping,Home Goods,420.22,Expense,Cash,
2024-03-15,2024-03,2024,Q1,Education,Books,805.89,Expense,Bank Transfer,
2023-11-25,2023-11,2023,Q4,Travel,Travel Insurance,807.1,Expense,Credit Card,
2023-02-21,2023-02,2023,Q1,Food,Supermarket,287.6,Expense,Debit Card,
2023-08-06,2023-08,2023,Q3,Education,Online Course,599.96,Expense,Digital Wallet,
2023-10-15,2023-10,2023,Q4,Food,Supermarket,277.63,Expense,Digital Wallet,
2023-02-24,2023-02,2023,Q1,Education,Books,674.55,Expense,Debit Card,
2023-06-22,2023-06,2023,Q2,Other,Miscellaneous,103.14,Expense,Bank Transfer,
2024-06-03,2024-06,2024,Q2,Food,Supermarket,92.26,Expense,Digital Wallet,
2023-06-11,2023-06,2023,Q2,Entertainment,Games,31.81,Expense,Bank Transfer,
2023-07-22,2023-07,2023,Q3,Housing,Mortgage Payment,1949.98,Expense,Bank Transfer,
2023-05-13,2023-05,2023,Q2,Housing,Property Tax,1494.77,Expense,Digital Wallet,
2024-07-27,2024-07,2024,Q3,Entertainment,Games,135.05,Expense,Digital Wallet,
2024-02-08,2024-02,2024,Q1,Shopping,Amazon,496.35,Expense,Digital Wallet,
2023-12-27,2023-12,2023,Q4,Entertainment,Cinema,109.11,Expense,Digital Wallet,
2023-03-02,2023-03,2023,Q1,Travel,Tour Package,1672.2,Expense,Credit Card,
2023-05-11,2023-05,2023,Q2,Food,Grocery Store,255.07,Expense,Bank Transfer,
2024-02-27,2024-02,2024,Q1,Utilities,Water Bill,118.06,Expense,Bank Transfer,
2023-06-13,2023-06,2023,Q2,Entertainment,Spotify,152.66,Expense,Digital Wallet,
2023-12-17,2023-12,2023,Q4,Other,Bank Fee,162.56,Expense,Bank Transfer,
2024-11-06,2024-11,2024,Q4,Food,Food Delivery,93.07,Expense,Debit Card,
2023-09-09,2023-09,2023,Q3,Transport,Public Transit,65.64,Expense,Bank Transfer,
2024-08-26,2024-08,2024,Q3,Housing,Property Tax,700.93,Expense,Cash,
2023-09-19,2023-09,2023,Q3,Transport,Uber/Grab,453.96,Expense,Credit Card,
2024-11-03,2024-11,2024,Q4,Shopping,Electronics,375.66,Expense,Bank Transfer,
2023-05-25,2023-05,2023,Q2,Food,Coffee Shop,108.34,Expense,Digital Wallet,
2024-06-16,2024-06,2024,Q2,Housing,Property Tax,2342.55,Expense,Cash,
2024-09-05,2024-09,2024,Q3,Food,Supermarket,221.06,Expense,Debit Card,
2023-04-28,2023-04,2023,Q2,Food,Grocery Store,93.58,Expense,Cash,
2023-01-17,2023-01,2023,Q1,Housing,Mortgage Payment,1256.42,Expense,Digital Wallet,
2023-10-10,2023-10,2023,Q4,Travel,Hotel,1970.0,Expense,Credit Card,
2023-10-29,2023-10,2023,Q4,Utilities,Water Bill,188.58,Expense,Cash,
2024-06-07,2024-06,2024,Q2,Entertainment,Cinema,190.28,Expense,Debit Card,
2023-09-29,2023-09,2023,Q3,Housing,Mortgage Payment,2397.09,Expense,Digital Wallet,
2023-08-26,2023-08,2023,Q3,Housing,Maintenance,1699.03,Expense,Debit Card,
2023-06-20,2023-06,2023,Q2,Healthcare,Dental,630.73,Expense,Debit Card,
2023-05-07,2023-05,2023,Q2,Housing,Maintenance,731.58,Expense,Cash,
2024-12-03,2024-12,2024,Q4,Healthcare,Pharmacy,548.84,Expense,Bank Transfer,
2024-03-24,2024-03,2024,Q1,Housing,Mortgage Payment,1596.86,Expense,Bank Transfer,
2023-04-21,2023-04,2023,Q2,Shopping,Clothing Store,495.23,Expense,Bank Transfer,
2024-09-29,2024-09,2024,Q3,Food,Restaurant,171.32,Expense,Bank Transfer,
2024-09-23,2024-09,2024,Q3,Entertainment,Cinema,64.05,Expense,Bank Transfer,
2023-08-22,2023-08,2023,Q3,Food,Restaurant,275.94,Expense,Credit Card,
2023-03-19,2023-03,2023,Q1,Food,Supermarket,192.46,Expense,Debit Card,
2023-11-06,2023-11,2023,Q4,Education,Workshop,324.99,Expense,Cash,
2024-12-10,2024-12,2024,Q4,Housing,Property Tax,766.41,Expense,Debit Card,
2024-09-20,2024-09,2024,Q3,Housing,Mortgage Payment,1455.98,Expense,Debit Card,
2024-01-06,2024-01,2024,Q1,Housing,Mortgage Payment,1759.85,Expense,Cash,
2024-12-13,2024-12,2024,Q4,Shopping,Home Goods,541.83,Expense,Digital Wallet,
2023-10-28,2023-10,2023,Q4,Education,Training,729.44,Expense,Bank Transfer,
2024-10-22,2024-10,2024,Q4,Income,Monthly Salary,5186.184895477266,Income,Bank Transfer,
2023-06-17,2023-06,2023,Q2,Food,Restaurant,119.3,Expense,Debit Card,
2024-08-05,2024-08,2024,Q3,Entertainment,Spotify,159.3,Expense,Cash,
2023-08-15,2023-08,2023,Q3,Shopping,Amazon,358.28,Expense,Credit Card,
2023-04-02,2023-04,2023,Q2,Shopping,Online Shopping,443.02,Expense,Digital Wallet,
2023-12-14,2023-12,2023,Q4,Food,Supermarket,266.19,Expense,Debit Card,
2023-06-16,2023-06,2023,Q2,Healthcare,Lab Tests,468.71,Expense,Credit Card,
2024-04-15,2024-04,2024,Q2,Shopping,Home Goods,247.93,Expense,Digital Wallet,
2024-11-01,2024-11,2024,Q4,Shopping,Online Shopping,438.69,Expense,Bank Transfer,
2023-02-05,2023-02,2023,Q1,Other,Bank Fee,226.51,Expense,Digital Wallet,
2023-12-18,2023-12,2023,Q4,Utilities,Gas Bill,114.37,Expense,Credit Card,
2024-06-12,2024-06,2024,Q2,Food,Supermarket,226.0,Expense,Digital Wallet,
2024-04-01,2024-04,2024,Q2,Housing,Monthly Rent,2277.02,Expense,Cash,
2024-02-18,2024-02,2024,Q1,Entertainment,Netflix,155.34,Expense,Digital Wallet,
2023-05-18,2023-05,2023,Q2,Food,Supermarket,42.73,Expense,Credit Card,
2023-07-27,2023-07,2023,Q3,Entertainment,Cinema,128.24,Expense,Debit Card,
2023-10-14,2023-10,2023,Q4,Entertainment,Gym Membership,66.17,Expense,Digital Wallet,
2023-04-14,2023-04,2023,Q2,Utilities,Phone Bill,296.01,Expense,Cash,
2024-10-01,2024-10,2024,Q4,Entertainment,Cinema,177.0,Expense,Cash,
2024-08-14,2024-08,2024,Q3,Food,Grocery Store,212.61,Expense,Digital Wallet,
2024-12-04,2024-12,2024,Q4,Shopping,Home Goods,99.31,Expense,Debit Card,
2023-11-05,2023-11,2023,Q4,Entertainment,Gym Membership,127.31,Expense,Credit Card,
2024-06-13,2024-06,2024,Q2,Transport,Uber/Grab,310.44,Expense,Bank Transfer,
2024-08-28,2024-08,2024,Q3,Food,Restaurant,93.65,Expense,Bank Transfer,
2024-06-15,2024-06,2024,Q2,Housing,Maintenance,1017.48,Expense,Digital Wallet,
2023-07-25,2023-07,2023,Q3,Entertainment,Spotify,187.42,Expense,Digital Wallet,
2023-11-21,2023-11,2023,Q4,Utilities,Electricity Bill,252.3,Expense,Bank Transfer,
2024-05-09,2024-05,2024,Q2,Food,Restaurant,208.76,Expense,Debit Card,
2023-09-30,2023-09,2023,Q3,Other,Subscription,264.5,Expense,Cash,
2023-05-21,2023-05,2023,Q2,Transport,Uber/Grab,282.35,Expense,Debit Card,
2024-04-06,2024-04,2024,Q2,Food,Supermarket,90.21,Expense,Credit Card,
2023-10-28,2023-10,2023,Q4,Housing,Mortgage Payment,2052.38,Expense,Credit Card,
2023-05-21,2023-05,2023,Q2,Food,Grocery Store,105.83,Expense,Bank Transfer,
2024-06-12,2024-06,2024,Q2,Utilities,Water Bill,56.53,Expense,Debit Card,
2023-11-24,2023-11,2023,Q4,Transport,Uber/Grab,403.38,Expense,Cash,
2024-11-24,2024-11,2024,Q4,Travel,Airbnb,2571.52,Expense,Bank Transfer,
2023-07-18,2023-07,2023,Q3,Utilities,Electricity Bill,208.02,Expense,Debit Card,
2023-10-30,2023-10,2023,Q4,Shopping,Clothing Store,354.58,Expense,Debit Card,
2024-08-12,2024-08,2024,Q3,Healthcare,Dental,245.63,Expense,Digital Wallet,
2023-05-14,2023-05,2023,Q2,Housing,Mortgage Payment,1503.65,Expense,Bank Transfer,
2024-07-26,2024-07,2024,Q3,Housing,Mortgage Payment,755.89,Expense,Cash,
2024-03-04,2024-03,2024,Q1,Utilities,Water Bill,240.09,Expense,Debit Card,
2024-10-31,2024-10,2024,Q4,Entertainment,Cinema,134.05,Expense,Credit Card,
2023-04-24,2023-04,2023,Q2,Shopping,Electronics,439.07,Expense,Debit Card,
2024-09-03,2024-09,2024,Q3,Housing,Maintenance,679.24,Expense,Cash,
2024-09-08,2024-09,2024,Q3,Travel,Flight Ticket,757.48,Expense,Bank Transfer,
2024-12-10,2024-12,2024,Q4,Healthcare,Pharmacy,320.04,Expense,Cash,
2024-03-15,2024-03,2024,Q1,Housing,Property Tax,1367.42,Expense,Bank Transfer,
2024-08-08,2024-08,2024,Q3,Transport,Uber/Grab,371.0,Expense,Cash,
2023-04-10,2023-04,2023,Q2,Housing,Monthly Rent,836.8,Expense,Bank Transfer,
2023-07-08,2023-07,2023,Q3,Utilities,Internet,79.89,Expense,Cash,
2023-07-25,2023-07,2023,Q3,Utilities,Water Bill,202.49,Expense,Cash,
2024-12-19,2024-12,2024,Q4,Healthcare,Pharmacy,736.05,Expense,Credit Card,
2023-01-31,2023-01,2023,Q1,Income,Monthly Salary,5448.483311461197,Income,Bank Transfer,
2024-03-14,2024-03,2024,Q1,Shopping,Clothing Store,401.17,Expense,Bank Transfer,
2024-12-10,2024-12,2024,Q4,Transport,Car Insurance,484.91,Expense,Credit Card,
2023-08-27,2023-08,2023,Q3,Entertainment,Cinema,159.34,Expense,Digital Wallet,
2024-01-12,2024-01,2024,Q1,Shopping,Clothing Store,364.23,Expense,Digital Wallet,
2024-08-06,2024-08,2024,Q3,Food,Coffee Shop,206.05,Expense,Bank Transfer,
2024-01-06,2024-01,2024,Q1,Utilities,Electricity Bill,95.44,Expense,Debit Card,
